source,target,capacity,strength,type
Cloud_Hyperscaler,Identity_Provider,85,0.88,cloud_dependency
Cloud_Hyperscaler,API_Gateway,80,0.85,cloud_dependency
Identity_Provider,API_Gateway,72,0.85,identity_federation
API_Gateway,Payment_Switch,75,0.82,api_route
API_Gateway,Data_Platform,65,0.78,api_route
Security_Operations,Cloud_Hyperscaler,68,0.78,monitoring
Security_Operations,Identity_Provider,65,0.78,monitoring
Backup_Recovery,Data_Platform,60,0.75,backup_link
ECB_Operations,Eurozone_Banks,95,0.92,policy_support
ECB_Operations,Payment_Systems,90,0.90,policy_support
Eurozone_Banks,Payment_Systems,88,0.90,interbank
Eurozone_Banks,Capital_Markets,78,0.85,funding
Capital_Markets,Investment_Funds,72,0.82,market_exposure
Insurance_Sector,Capital_Markets,65,0.78,market_exposure
Eurozone_Banks,Market_Confidence,70,0.82,trust_signal
DE_Economy,SME_Sector,80,0.85,domestic_link
DE_Economy,Public_Services,85,0.88,domestic_link
DE_Economy,FR_Economy,85,0.90,regional_link
FR_Economy,IT_Economy,70,0.82,regional_link
IT_Economy,ES_NL_Economy,68,0.80,regional_link
Payment_Switch,Payment_Systems,82,0.85,bridge
Identity_Provider,Eurozone_Banks,78,0.82,bridge
Cloud_Hyperscaler,Public_Services,72,0.78,bridge
Eurozone_Banks,DE_Economy,85,0.88,bridge
Payment_Systems,SME_Sector,75,0.80,bridge
