source,target,capacity,strength,type
K8s_Control_Plane,K8s_Worker_Pool,90,0.92,k8s_control
K8s_Control_Plane,Prometheus,75,0.85,scrape_metrics
K8s_Worker_Pool,Prometheus,80,0.88,scrape_metrics
K8s_Worker_Pool,Falco,65,0.80,runtime_security
GitLab_Enterprise,Kafka_MSK,70,0.85,event_publish
Harbor_Registry,K8s_Worker_Pool,75,0.88,image_pull
Vault,K8s_Worker_Pool,60,0.90,secrets_inject
Vault,ArgoCD,50,0.85,secrets_inject
Kafka_MSK,Prometheus,70,0.82,event_metric
Kafka_MSK,Loki,65,0.78,event_log
Prometheus,Grafana,75,0.90,datasource
Falco,Audit_Trail_Splunk,55,0.85,runtime_audit
Falco,Loki,50,0.80,security_log
GitLab_Enterprise,Tekton_CI,65,0.88,build_trigger
Tekton_CI,SAST_SonarQube,55,0.85,pipeline_stage
Tekton_CI,SCA_Snyk,55,0.85,pipeline_stage
Tekton_CI,DAST_OWASP_ZAP,50,0.80,pipeline_stage
SAST_SonarQube,Cosign_SBOM,45,0.82,findings_to_sbom
SCA_Snyk,Cosign_SBOM,45,0.82,findings_to_sbom
DAST_OWASP_ZAP,Audit_Trail_Splunk,40,0.78,test_results
Cosign_SBOM,Harbor_Registry,50,0.85,signed_image
Cosign_SBOM,DORA_Reporter,45,0.85,sbom_attest
ArgoCD,K8s_Worker_Pool,55,0.88,gitops_deploy
ArgoCD,OPA_Gatekeeper,50,0.85,policy_check
OPA_Gatekeeper,Audit_Trail_Splunk,55,0.88,policy_violation
OPA_Gatekeeper,Policy_Reporter,50,0.85,policy_enforce
Loki,Audit_Trail_Splunk,60,0.85,log_aggregation
Audit_Trail_Splunk,DORA_Reporter,55,0.90,audit_to_dora
Policy_Reporter,DORA_Reporter,45,0.88,policy_to_dora
ArgoCD,Release_Velocity,50,0.85,deploy_to_release
DORA_Reporter,Release_Velocity,40,0.70,compliance_friction
Audit_Trail_Splunk,MTTR,45,0.75,incident_response
Falco,MTTR,40,0.80,detection_to_mttr
Release_Velocity,Customer_Channels,55,0.85,velocity_to_value
MTTR,Customer_Channels,50,0.82,recovery_to_trust
